#{"t_start": 1772812606.729522, "env_id": "Meta-World/MT1"}
r,l,t,s,success
29.413549,500,1.516674,0,0.0
12.875737,500,3.305619,0,0.0
44.120151,500,5.069457,0,0.0
34.746322,500,6.834246,0,0.0
61.506024,500,8.652354,0,0.0
66.086633,500,10.416648,0,0.0
69.656208,500,12.169614,0,0.0
44.007757,500,13.947573,0,0.0
71.754505,500,15.701092,0,0.0
35.232573,500,17.466397,0,0.0
30.306473,500,19.242911,0,0.0
97.343574,500,21.036375,0,0.0
80.436902,500,22.813876,0,0.0
224.302396,500,24.636229,0,0.0
113.00218,500,26.422663,0,0.0
43.078317,500,28.201799,0,0.0
107.660028,500,29.976155,0,0.0
32.38147,500,31.747622,0,0.0
60.235208,500,33.535937,0,0.0
42.587857,500,35.344014,0,0.0
22.697238,500,37.182676,0,0.0
40.954536,500,38.989453,0,0.0
25.280148,500,40.802983,0,0.0
47.346443,500,42.609572,0,0.0
9.676579,500,44.452374,0,0.0
32.734908,500,46.255686,0,0.0
97.201814,500,48.073677,0,0.0
99.406922,500,49.924954,0,0.0
1254.396074,500,51.729214,1.0,1.0
24.522507,500,53.53122,0,0.0
13.269549,500,55.370555,0,0.0
8.987583,500,57.177929,0,0.0
7.762108,500,58.999298,0,0.0
15.101545,500,60.810581,0,0.0
17.177333,500,62.627433,0,0.0
107.018452,500,64.431202,0,0.0
54.256689,500,66.230098,0,0.0
82.449265,500,68.042663,0,0.0
1243.958621,500,69.879634,1.0,0.0
66.881479,500,71.667157,0,0.0
58.375229,500,73.447282,0,0.0
157.479433,500,75.258938,0,0.0
51.860348,500,77.036008,0,0.0
56.759874,500,78.821254,0,0.0
64.389558,500,80.624134,0,0.0
195.031458,500,82.409732,0,0.0
62.861437,500,84.20197,0,0.0
58.365033,500,85.980673,0,0.0
37.14438,500,87.756703,0,0.0
28.981855,500,89.552863,0,0.0
28.075586,500,92.124,0,0.0
18.700558,500,93.908958,0,0.0
27.989738,500,95.721392,0,0.0
51.166493,500,97.533949,0,0.0
1760.102672,500,99.331531,1.0,0.0
56.66071,500,101.134405,0,0.0
54.906102,500,102.916902,0,0.0
69.696135,500,104.726152,0,0.0
365.761231,500,106.526317,0,0.0
60.039827,500,108.375287,0,0.0
61.983365,500,110.196549,0,0.0
58.270285,500,111.985535,0,0.0
33.665548,500,113.795445,0,0.0
38.064059,500,115.613923,0,0.0
25.337049,500,117.401362,0,0.0
24.561856,500,119.189683,0,0.0
54.524964,500,121.033966,0,0.0
28.997472,500,122.845546,0,0.0
19.442882,500,124.762182,0,0.0
44.972475,500,126.661464,0,0.0
89.835257,500,128.505604,0,0.0
42.320503,500,130.368235,0,0.0
41.732721,500,132.169972,0,0.0
71.510673,500,133.96995,0,0.0
57.85717,500,135.820969,0,0.0
25.115755,500,137.732728,0,0.0
110.258396,500,139.558994,0,0.0
66.360149,500,141.369607,0,0.0
53.726533,500,143.145726,0,0.0
57.008261,500,144.946113,0,0.0
58.770867,500,146.820063,0,0.0
15.751977,500,148.685472,0,0.0
53.841863,500,150.492612,0,0.0
61.755276,500,152.297607,0,0.0
252.356197,500,154.080065,1.0,0.0
49.214039,500,155.925358,0,0.0
226.944138,500,157.804479,0,0.0
66.829278,500,159.588839,0,0.0
165.832017,500,161.458689,0,0.0
45.962546,500,163.272275,0,0.0
62.841383,500,165.074556,0,0.0
383.726568,500,166.907276,1.0,0.0
98.631877,500,168.711664,0,0.0
23.676903,500,170.544408,0,0.0
60.95523,500,172.332089,0,0.0
89.149921,500,174.129468,0,0.0
327.574534,500,175.93404,1.0,0.0
39.371812,500,177.83134,0,0.0
935.273712,500,179.686395,1.0,0.0
4332.17148,500,181.491028,1.0,1.0
97.871303,500,184.250974,0,0.0
4653.462108,500,186.03259,1.0,1.0
58.298806,500,187.926767,0,0.0
69.163935,500,189.729602,0,0.0
314.634495,500,191.575759,0,0.0
50.376878,500,193.407852,0,0.0
2097.140264,500,195.197772,1.0,1.0
60.763215,500,197.026399,0,0.0
124.481003,500,198.901112,0,0.0
59.467525,500,200.686177,0,0.0
53.343676,500,202.539408,0,0.0
221.110516,500,204.407503,0,0.0
683.798968,500,206.197184,1.0,0.0
12.686622,500,208.011658,0,0.0
18.530816,500,209.805397,0,0.0
529.774318,500,211.63308,1.0,0.0
697.106034,500,213.433178,1.0,0.0
549.41603,500,215.227896,1.0,0.0
205.070971,500,217.024262,1.0,0.0
62.380806,500,218.819686,0,0.0
228.383487,500,220.64944,1.0,0.0
49.374461,500,222.435111,0,0.0
282.591683,500,224.474153,1.0,0.0
843.736902,500,226.533951,1.0,0.0
54.761319,500,228.386112,0,0.0
1408.182085,500,230.433541,1.0,1.0
67.859087,500,232.340993,0,0.0
52.941907,500,234.145678,0,0.0
83.375093,500,235.93065,0,0.0
32.248851,500,237.750498,0,0.0
68.097344,500,239.526691,0,0.0
44.591435,500,241.311161,0,0.0
24.96198,500,243.221241,0,0.0
54.185166,500,245.027411,0,0.0
52.34735,500,246.824368,0,0.0
3765.068798,500,248.631557,1.0,0.0
15.271076,500,250.503164,0,0.0
1552.220026,500,252.337629,1.0,0.0
46.070016,500,254.148706,0,0.0
220.823566,500,255.958423,1.0,0.0
261.873423,500,257.758161,1.0,0.0
521.312338,500,259.586276,0,0.0
579.222488,500,261.407899,1.0,0.0
56.623476,500,263.225781,0,0.0
39.462831,500,265.095137,0,0.0
39.041797,500,267.144267,0,0.0
68.756712,500,268.989172,0,0.0
24.949951,500,270.820499,0,0.0
58.789339,500,272.634927,0,0.0
52.320766,500,274.450682,0,0.0
65.786621,500,277.058782,0,0.0
222.283069,500,278.917724,0,0.0
316.727827,500,280.784991,0,0.0
61.895273,500,282.590416,0,0.0
171.496811,500,284.426716,0,0.0
985.11164,500,286.256096,1.0,0.0
37.180623,500,288.068656,0,0.0
58.685021,500,289.888238,0,0.0
276.276827,500,291.69737,1.0,0.0
30.346392,500,293.555223,0,0.0
7.035693,500,295.42272,0,0.0
247.746781,500,297.233473,1.0,0.0
4055.851952,500,299.064808,1.0,1.0
37.906937,500,300.985151,0,0.0
22.829536,500,302.827556,0,0.0
1153.975252,500,304.744164,0,0.0
182.642289,500,306.59799,0,0.0
3068.423597,500,308.430304,1.0,1.0
93.626177,500,310.298668,0,0.0
31.955901,500,312.12827,0,0.0
67.387817,500,314.017611,0,0.0
1308.429512,500,315.845544,1.0,0.0
26.031471,500,317.6601,0,0.0
44.625341,500,319.590562,0,0.0
27.093695,500,321.404647,0,0.0
47.016593,500,323.223535,0,0.0
38.981535,500,325.06393,0,0.0
83.59378,500,326.922931,1.0,0.0
65.061184,500,328.733913,0,0.0
